Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,H,xH,1B,x1B,2B,x2B,3B,x3B,HR,xHR,XBH,xXBH
25,1571813435,C. Templeton,Cody Templeton,Templeton,Cody,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,L,13,385,357,103,101.5,85,83.5,13,15.1,1,0.0,4,1.3,18,15.2
26,1097715200,E. Gialloreto,Eric Gialloreto,Gialloreto,Eric,P,Iona College,IONA,730242048,Iona,BBC,R,R,14,383,347,104,117.2,71,90.3,20,23.8,6,0.0,7,1.7,33,23.1
27,1248493824,J. Pease,Jaxson Pease,Pease,Jaxson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,14,301,269,78,112.4,58,88.8,16,20.4,2,0.0,2,1.8,20,19.8
28,1342168337,D. Dean,David Dean,Dean,David,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,17,240,213,66,75.0,49,59.5,10,12.1,2,0.0,5,1.8,17,12.3
29,1135887872,J. Martinez,Joshua Martinez,Martinez,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,24,288,235,78,65.8,60,48.9,14,13.9,1,0.0,3,1.8,18,12.8
30,1184281600,R. Brooks,Ryder Brooks,Brooks,Ryder,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,20,307,251,59,65.0,46,51.2,7,11.1,1,0.0,5,1.9,13,10.6
31,1243071232,B. Haston,Brandon Haston,Haston,Brandon,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,16,369,318,96,120.5,74,105.1,16,12.3,4,0.0,2,1.9,22,12.3
32,1281260544,P. Havard,Peyton Havard,Havard,Peyton,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,22,261,240,52,50.0,39,39.6,7,7.5,2,0.0,4,2.0,13,8.7
33,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,17,389,334,78,87.6,54,68.2,16,16.0,2,0.0,6,2.1,24,15.6
34,1126303232,T. Evans,Tate Evans,Evans,Tate,P,Yale University,YALE,730334464,Yale,BBC,R,R,22,210,184,45,51.1,38,38.3,3,9.5,2,0.0,2,2.1,7,10.2
35,1278775808,C. Montgomery,Cade Montgomery,Montgomery,Cade,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,10,238,207,45,53.4,37,43.1,5,7.4,1,0.0,2,2.2,8,8.3
36,1119214592,J. Elizondo,Jackson Elizondo,Elizondo,Jackson,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,10,250,212,63,58.7,42,46.3,13,9.1,0,0.0,8,2.2,21,9.6
37,1778873426,C. Duerr,Caleb Duerr,Duerr,Caleb,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,13,277,232,59,64.8,46,42.1,11,19.8,0,0.0,2,2.3,13,18.5
38,1297538560,S. Lopez,Sergio Lopez,Lopez,Sergio,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,15,223,192,42,44.1,27,29.5,8,11.3,2,0.0,5,2.3,15,11.7
39,1257398016,R. Bilka,Ryan Bilka,Bilka,Ryan,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,18,243,223,43,52.9,32,40.6,9,9.2,0,0.0,2,2.3,11,10.5
40,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,326,266,47,55.3,35,41.1,8,10.6,3,0.0,1,2.5,12,10.7
41,1092369664,A. Morin,Alistair Morin,Morin,Alistair,P,Siena College,SIE,730382592,Siena,BBC,R,R,15,383,310,75,70.8,55,45.1,15,21.4,1,0.0,4,2.6,20,19.4
42,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,17,355,313,78,69.6,64,42.5,11,23.3,1,0.0,2,2.6,14,22.9
43,1123952128,G. Morris,Gavin Morris,Morris,Gavin,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,23,244,209,49,52.2,39,39.8,6,8.9,1,0.0,3,2.6,10,9.9
44,1237026048,N. Millikan,Noah Millikan,Millikan,Noah,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,12,276,232,64,62.2,44,45.2,17,13.4,1,0.0,2,2.7,20,13.6
45,1183062528,A. Heffernan,Andrew Heffernan,Heffernan,Andrew,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,12,328,300,79,95.9,51,69.9,16,21.8,2,0.0,10,2.7,28,22.4
46,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,289,233,66,54.7,38,43.9,18,7.1,2,0.0,8,2.8,28,7.9
47,1505725733,R. Gaber,Reese Gaber,Gaber,Reese,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,256,197,48,57.6,32,42.1,10,11.6,1,0.0,5,2.8,16,11.1
48,1804936858,M. Blasche,Mason Blasche,Blasche,Mason,P,Samford University,SAM,730386432,Samford,BBC,R,R,16,300,278,72,77.4,53,57.9,15,15.5,1,0.0,3,2.8,19,16.9
49,1286103552,C. Williams,Cody Williams,Williams,Cody,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,30,284,243,61,56.6,44,43.0,10,9.6,0,0.0,7,2.9,17,10.7
50,1279324160,J. Ellwanger,James Ellwanger,Ellwanger,James,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,16,288,231,57,51.4,47,37.1,7,10.4,1,0.0,2,2.9,10,10.7
51,1146369280,Z. Longshore,Zach Longshore,Longshore,Zach,P,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,17,303,257,75,60.3,58,45.1,10,11.2,2,0.0,5,3.1,17,12.1
52,1196833025,R. O'Connor,Robbie O'Connor,O'Connor,Robbie,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,338,274,90,76.2,65,58.9,13,12.9,3,0.0,9,3.1,25,13.0
53,1279513344,A. Rubayo,Andrew Rubayo,Rubayo,Andrew,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,23,276,245,78,83.8,63,64.3,8,15.2,3,0.0,4,3.1,15,16.2
54,1505049816,J. Sitton,Jacob Sitton,Sitton,Jacob,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,15,359,304,86,92.6,58,63.8,21,24.1,2,0.0,5,3.1,28,23.0
55,1790363222,D. Story,Dylan Story,Story,Dylan,P,High Point University,HP,730321152,High Point,BBC,R,R,15,366,305,87,82.8,58,62.5,22,15.7,0,0.0,7,3.1,29,15.7
56,1218243584,B. Olsen,Bobby Olsen,Olsen,Bobby,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,12,271,223,67,60.6,49,45.4,14,10.7,2,0.0,2,3.2,18,11.4
57,1248478720,N. Parache,Nuno Parache,Parache,Nuno,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,13,240,213,54,53.0,43,38.5,8,10.2,1,0.0,2,3.2,11,11.9
58,1002892320,M. Hagler,Micah Hagler,Hagler,Micah,P,Seattle University,SEA,4504,Seattle,BBC,R,R,16,266,245,72,71.6,56,54.9,11,12.1,0,0.0,5,3.3,16,14.2
59,1330730752,D. Vigue,Dylan Vigue,Vigue,Dylan,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,269,213,47,55.3,35,43.1,11,8.0,0,0.0,1,3.3,12,9.0
60,1507662845,T. Brooks,Ty Brooks,Brooks,Ty,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,17,258,218,60,60.2,45,42.1,12,13.8,2,0.0,1,3.3,15,14.4
61,1100716032,C. Marshburn,Connor Marshburn,Marshburn,Connor,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,322,270,53,61.8,43,47.2,7,10.2,0,0.0,3,3.4,10,11.4
62,1153707520,M. McEwen,Max McEwen,McEwen,Max,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,13,268,224,50,49.3,36,35.1,10,9.8,1,0.0,3,3.4,14,11.1
63,1099691264,R. Quick,Riley Quick,Quick,Riley,P,University of Alabama,ALA,730206976,Alabama,BBC,R,R,14,270,236,62,62.0,46,47.2,11,10.4,0,0.0,5,3.5,16,12.1
64,1086409984,T. Bryan,Tyler Bryan,Bryan,Tyler,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,347,285,76,77.8,59,59.3,13,13.6,3,0.0,1,3.5,17,14.1
65,1114455808,J. Toporek,Jake Toporek,Toporek,Jake,P,Wagner College,WAG,730192640,Wagner,BBC,S,L,15,359,322,70,86.5,48,49.9,17,30.3,0,0.0,5,3.5,22,30.4
66,1287322880,R. Fox,Rory Fox,Fox,Rory,P,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,14,280,235,44,52.8,30,38.2,10,10.0,1,0.0,3,3.5,14,11.4
67,1311169792,D. Hickson,Davion Hickson,Hickson,Davion,P,Rice University,RICE,2352,Rice,BBC,R,R,13,325,268,59,56.6,40,39.5,13,12.4,1,0.0,5,3.6,19,13.2
68,1580729364,T. Valincius,Tomas Valincius,Valincius,Tomas,P,University of Virginia,UVA,5415,Virginia,BBC,L,L,13,275,250,64,60.2,45,43.2,13,12.2,1,0.0,5,3.6,19,14.4
69,1332852737,D. Revis,Dustin Revis,Revis,Dustin,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,15,354,308,73,81.5,49,58.6,18,17.7,2,0.0,4,3.6,24,18.5
70,1162536960,A. DAlessio,Andrew DAlessio,DAlessio,Andrew,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,9,226,193,59,53.2,51,39.1,5,9.6,1,0.0,2,3.6,8,11.4
71,1184585216,C. Rothermel,Collin Rothermel,Rothermel,Collin,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,15,303,254,53,65.1,38,46.7,9,13.2,2,0.0,4,3.6,15,14.1
72,1134423040,T. Helmick,Tristan Helmick,Helmick,Tristan,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,240,199,61,56.6,41,42.5,16,9.4,1,0.0,3,3.7,20,10.9
73,1204808114,R. Lynch,Ryan Lynch,Lynch,Ryan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,27,265,228,44,50.7,33,36.3,8,9.7,0,0.0,3,3.8,11,11.6
74,1408559031,L. Kinneen,Liam Kinneen,Kinneen,Liam,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,11,238,195,52,51.4,38,37.6,9,9.1,0,0.0,5,3.8,14,10.6
75,1132957952,C. Olivier,Chris Olivier,Olivier,Chris,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,294,258,61,59.3,43,43.7,12,11.0,2,0.0,4,3.8,18,12.9
76,1238315520,D. Macchiarola,Danny Macchiarola,Macchiarola,Danny,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,16,396,355,81,97.3,62,70.9,15,20.8,1,0.0,3,3.8,19,22.1
77,1760692530,A. Kribbs,Andrew Kribbs,Kribbs,Andrew,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,16,285,242,63,55.9,48,42.0,11,9.2,0,0.0,4,3.9,15,11.1
78,1769907041,B. Loeger,Bryce Loeger,Loeger,Bryce,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,12,229,194,58,55.0,39,34.6,12,15.1,3,0.0,4,3.9,19,16.1
79,1162521088,L. Runde,Logan Runde,Runde,Logan,P,Florida International University,FIU,4468,Florida International,BBC,R,R,21,274,240,81,67.5,63,48.2,13,14.0,0,0.0,5,3.9,18,15.7
80,1326021632,Z. Garcia,Zach Garcia,Garcia,Zach,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,14,391,350,90,81.5,65,59.4,16,16.3,0,0.0,9,3.9,25,18.2
81,1202725632,G. Miller,Griffin Miller,Miller,Griffin,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,15,387,310,68,81.6,50,60.4,17,16.0,0,0.0,1,4.0,18,16.0
82,1116316672,K. Lesler,Kyle Lesler,Lesler,Kyle,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,14,261,223,56,53.9,44,39.8,5,9.0,0,0.0,7,4.0,12,11.1
83,1661534629,S. Lavin,Sam Lavin,Lavin,Sam,P,George Mason University,GMU,730265088,George Mason,BBC,L,R,16,289,251,68,73.0,51,54.7,12,13.3,0,0.0,5,4.0,17,15.0
84,1311844864,C. Edmondson,Clay Edmondson,Edmondson,Clay,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,13,348,294,64,69.5,49,54.5,10,10.0,1,0.0,4,4.0,15,11.8
85,1656682756,N. Finarelli,Nick Finarelli,Finarelli,Nick,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,397,348,100,87.7,73,61.2,21,20.7,1,0.0,5,4.0,27,21.7
86,1153452544,J. Logar,Jackson Logar,Logar,Jackson,P,James Madison University,JMU,730340096,James Madison,BBC,R,R,15,336,254,50,59.7,35,42.6,12,11.9,0,0.0,3,4.1,15,12.1
87,1463788430,N. Stein,Nathan Stein,Stein,Nathan,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,15,297,247,76,66.2,60,46.3,12,14.6,1,0.0,3,4.1,16,15.5
88,1328495337,L. Trout,Luke Trout,Trout,Luke,P,Brown University,BRWN,730236160,Brown,BBC,R,R,11,221,178,48,46.1,31,31.8,12,9.3,2,0.0,3,4.1,17,10.8
89,1143021312,G. Gambradella,Gianni Gambradella,Gambradella,Gianni,P,University of Maine,ME,730275840,Maine,BBC,R,R,15,278,237,66,68.0,40,46.5,16,15.9,3,0.0,7,4.1,26,17.0
90,1239129600,D. Thompson,Danny Thompson,Thompson,Danny,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,23,264,231,54,50.1,42,36.8,6,8.0,2,0.0,4,4.2,12,10.7
91,1182295552,J. Faulkner,Jacob Faulkner,Faulkner,Jacob,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,301,264,76,77.8,60,59.0,12,13.3,1,0.0,3,4.3,16,15.4
92,1279233792,T. Florio,Trace Florio,Florio,Trace,P,Lafayette College,LAF,730217728,Lafayette,BBC,L,L,13,295,262,85,73.4,60,54.1,19,13.9,1,0.0,5,4.3,25,16.2
93,1340662528,P. Brown,Peyton Brown,Brown,Peyton,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,17,257,212,59,57.1,45,42.2,10,9.7,1,0.0,3,4.4,14,11.6
94,1245880832,J. Duffield,Joseph Duffield,Duffield,Joseph,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,257,201,44,52.6,32,37.6,8,9.7,0,0.0,4,4.4,12,11.0
95,1537972184,E. Teel,Easton Teel,Teel,Easton,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,17,341,315,75,84.7,58,64.5,9,14.4,2,0.0,6,4.4,17,17.3
96,1226691328,J. Halford,Jacob Halford,Halford,Jacob,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,23,258,218,68,60.1,57,47.8,6,7.1,0,0.0,5,4.4,11,9.7
97,1162233600,C. Obermueller,Cade Obermueller,Obermueller,Cade,P,University of Iowa,IOWA,1232,Iowa,BBC,L,L,15,356,299,62,61.6,42,44.9,13,11.1,2,0.0,5,4.4,20,13.0
98,1110844672,M. Bucknam,Micah Bucknam,Bucknam,Micah,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,13,272,230,54,47.6,37,33.6,10,8.6,1,0.0,6,4.4,17,11.0
99,1258111488,C. Daniel,Colin Daniel,Daniel,Colin,P,UAB,UAB,730345984,UAB,BBC,R,R,14,379,345,81,87.5,59,67.0,16,14.7,0,0.0,6,4.5,22,17.5
100,1815927257,L. Corcoran,Luke Corcoran,Corcoran,Luke,P,Coppin State University,COPP,730194176,Coppin State,BBC,L,L,15,277,229,73,72.9,41,52.7,24,14.4,3,0.0,5,4.5,32,15.6
101,1166285312,M. Coyne,Marty Coyne,Coyne,Marty,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,16,192,170,45,41.5,29,26.8,12,9.2,1,0.0,3,4.5,16,12.2
102,1210149120,S. Pinson,Smith Pinson,Pinson,Smith,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,22,276,241,63,63.6,48,46.8,11,11.3,1,0.0,3,4.5,15,13.8
103,1822252575,R. Parker,Ryan Parker,Parker,Ryan,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,287,242,73,73.9,57,55.9,10,12.0,0,0.0,6,4.6,16,14.0
104,1208166656,L. Harrison,Luke Harrison,Harrison,Luke,P,University of Texas,TEX,245,Texas,BBC,L,L,15,315,267,63,69.7,43,48.6,16,15.4,0,0.0,4,4.6,20,16.9
105,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,249,225,68,52.4,46,35.2,9,10.7,3,0.0,10,4.6,22,13.8
106,1332929792,J. McCracken,J.D. McCracken,McCracken,J.D.,P,Rice University,RICE,2352,Rice,BBC,L,L,16,336,277,74,77.9,50,57.9,12,13.8,0,0.0,12,4.6,24,15.2
107,1087388672,T. McGregor,Tristan McGregor,McGregor,Tristan,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,13,273,233,79,68.2,63,51.6,11,10.7,0,0.0,5,4.6,16,13.1
108,1260755712,B. Weber,Ben Weber,Weber,Ben,P,Xavier University,XAV,5464,Xavier,BBC,R,R,18,366,327,90,91.4,72,72.1,10,13.1,1,0.0,7,4.6,18,15.9
109,1187057664,T. Scavone,Tommy Scavone,Scavone,Tommy,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,12,251,221,58,60.4,42,43.9,11,11.0,0,0.0,5,4.7,16,13.8
110,1311140864,B. Pendley,Brady Pendley,Pendley,Brady,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,16,289,243,70,65.7,53,46.8,10,12.8,3,0.0,4,4.7,17,14.7
111,1187058176,D. Stewart,Dylan Stewart,Stewart,Dylan,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,14,256,218,61,58.2,44,40.9,11,11.7,0,0.0,6,4.7,17,14.0
112,1310946560,C. Benson,Chandler Benson,Benson,Chandler,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,20,276,250,65,65.4,50,49.7,9,10.0,0,0.0,6,4.7,15,13.3
113,1286570752,J. Kartsonas,Jack Kartsonas,Kartsonas,Jack,P,West Virginia University,WVU,5327,West Virginia,BBC,R,R,20,285,257,63,64.8,49,47.8,8,11.2,0,0.0,6,4.7,14,14.4
114,1187051520,G. Barrett,Gabriel Barrett,Barrett,Gabriel,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,19,269,228,67,67.8,52,49.3,11,12.4,1,0.0,3,4.8,15,14.6
115,1306777856,C. Shaw,Colton Shaw,Shaw,Colton,P,Yale University,YALE,730334464,Yale,BBC,R,R,12,329,289,64,70.3,42,50.3,16,14.0,1,0.0,5,4.8,22,16.5
116,1197348608,R. Marohn,Ryan Marohn,Marohn,Ryan,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,14,350,319,79,80.4,56,59.2,17,15.1,0,0.0,6,4.8,23,18.1
117,1195586304,E. Chaffee,Evan Chaffee,Chaffee,Evan,P,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,14,309,231,60,63.6,45,47.0,8,10.8,0,0.0,7,4.8,15,11.6
118,1150276096,C. Richter,Chase Richter,Richter,Chase,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,L,L,28,228,197,39,46.1,28,31.7,5,8.7,2,0.0,4,4.8,11,11.6
119,1279297536,J. Brink,Jake Brink,Brink,Jake,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,16,407,362,87,95.6,65,73.9,14,15.4,4,0.0,4,4.8,22,18.0
120,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,21,266,239,40,43.7,32,29.9,2,7.9,2,0.0,4,4.8,8,11.5
121,1257440000,J. Reitz,Jason Reitz,Reitz,Jason,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,16,272,230,50,56.7,35,38.0,13,12.5,0,0.0,2,4.9,15,14.7
122,1984231284,A. Kelly,Aiden Kelly,Kelly,Aiden,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,14,346,285,79,89.7,57,70.7,12,12.7,3,0.0,7,4.9,22,14.5
123,1446535769,E. Pena,Esaid Pena,Pena,Esaid,P,Alabama State University,ALST,4765,Alabama State,BBC,R,R,16,326,280,74,68.9,55,45.6,10,16.9,4,0.0,5,4.9,19,18.7
124,1492829743,C. Golden,Cooper Golden,Golden,Cooper,P,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,15,288,251,67,77.0,48,61.0,10,10.1,1,0.0,8,4.9,19,13.0
125,1239591168,T. Kapraun,Tyler Kapraun,Kapraun,Tyler,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,L,15,350,318,87,84.3,63,60.5,15,17.1,2,0.0,7,4.9,24,20.0
126,1102896128,J. Gonzalez,Jonathan Gonzalez,Gonzalez,Jonathan,P,Stetson University,STET,730261504,Stetson,BBC,L,L,15,373,339,69,79.7,56,58.3,11,15.1,1,0.0,1,5.0,13,18.3
127,1090704384,J. Turner,Jacob Turner,Turner,Jacob,P,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,16,292,250,80,78.8,48,54.8,21,17.5,2,0.0,9,5.0,32,19.2
128,1342168677,C. Scolari,Cal Scolari,Scolari,Cal,P,University of San Diego,USD,5320,San Diego,BBC,R,R,15,306,251,54,51.6,41,36.2,9,9.4,0,0.0,4,5.0,13,11.8
